"Product.ID","Product.Category","Buyer.Gender","Buyer.Age","International.Shipping","Sales.Price","Shipping.Charges","Sales.per.Unit","Quantity","Total.Sales","Rating"
9,2,2,20,1,15,0,15,1,15,"4"
3,3,1,18,1,10,0,10,1,10,"5"
9,2,2,34,1,15,0,15,2,30,"4"
9,2,2,30,1,15,0,15,1,15,"5"
10,2,1,28,2,45,40,85,3,255,"2"
5,2,2,23,1,32,0,32,2,64,"5"
13,3,1,25,1,23,0,23,1,23,"4"
6,1,2,25,1,65,0,65,2,130,"4"
8,1,2,32,1,97,0,97,5,485,"5"
10,2,1,25,1,45,0,45,2,90,"1"
2,3,2,27,1,9,0,9,1,9,"3"
4,1,1,21,1,118,0,118,1,118,"1"
13,3,1,20,1,23,0,23,2,46,"3"
9,2,2,34,1,15,0,15,5,75,"5"
2,3,2,29,2,9,70,79,1,79,"5"
7,1,2,18,1,130,0,130,1,130,"3"
7,1,1,25,2,130,25,155,1,155,"4"
12,2,1,23,1,20,0,20,1,20,"4"
8,1,1,25,1,97,0,97,1,97,"4"
10,2,2,31,1,45,0,45,4,180,"4"
13,3,2,32,1,23,0,23,1,23,"5"
3,3,2,28,1,10,0,10,3,30,"5"
2,3,2,19,2,9,40,49,2,98,"5"
6,1,1,26,1,65,0,65,1,65,"2"
1,1,2,31,2,100,70,170,1,170,"4"
11,2,2,18,1,50,0,50,3,150,"5"
2,3,1,18,1,9,0,9,1,9,"4"
6,1,2,30,1,65,0,65,1,65,"4"
1,1,2,35,1,100,0,100,1,100,"3"
3,3,2,29,1,10,0,10,3,30,"5"
2,3,2,19,1,9,0,9,3,27,"4"
8,1,1,26,2,97,40,137,2,274,"3"
3,3,2,34,1,10,0,10,2,20,"3"
6,1,2,29,1,65,0,65,2,130,"2"
3,3,2,35,1,10,0,10,1,10,"2"
5,2,2,31,1,32,0,32,2,64,"5"
3,3,2,29,1,10,0,10,5,50,"4"
5,2,1,18,1,32,0,32,1,32,"5"
2,3,2,35,1,9,0,9,1,9,"5"
9,2,1,26,2,15,40,55,1,55,"5"
9,2,1,22,2,15,40,55,5,275,"1"
8,1,1,30,2,97,25,122,1,122,"3"
12,2,1,24,1,20,0,20,2,40,"2"
6,1,2,24,1,65,0,65,1,65,"5"
4,1,2,27,1,118,0,118,1,118,"4"
6,1,1,26,2,65,40,105,1,105,"4"
9,2,2,29,1,15,0,15,5,75,"5"
5,2,2,33,1,32,0,32,1,32,"5"
11,2,2,30,1,50,0,50,2,100,"1"
7,1,2,29,2,130,25,155,1,155,"4"
3,3,1,35,2,10,40,50,1,50,"3"
13,3,1,32,2,23,70,93,2,186,"4"
10,2,1,32,1,45,0,45,1,45,"4"
6,1,2,28,2,65,40,105,1,105,"4"
9,2,2,23,1,15,0,15,2,30,"5"
12,2,2,35,1,20,0,20,1,20,"2"
2,3,2,18,2,9,40,49,1,49,"5"
2,3,2,23,1,9,0,9,1,9,"3"
6,1,1,34,1,65,0,65,4,260,"5"
2,3,2,23,1,9,0,9,1,9,"5"
1,1,2,20,2,100,70,170,4,680,"5"
6,1,1,24,2,65,40,105,2,210,"5"
1,1,2,18,2,100,40,140,2,280,"4"
9,2,2,22,1,15,0,15,4,60,"5"
11,2,2,28,1,50,0,50,4,200,"4"
9,2,2,34,1,15,0,15,3,45,"3"
6,1,2,22,1,65,0,65,2,130,"4"
6,1,2,31,1,65,0,65,1,65,"5"
8,1,1,25,1,97,0,97,4,388,"5"
10,2,2,29,1,45,0,45,2,90,"2"
6,1,2,29,1,65,0,65,5,325,"5"
9,2,2,18,2,15,50,65,1,65,"4"
1,1,2,19,1,100,0,100,3,300,"3"
3,3,1,23,1,10,0,10,1,10,"4"
9,2,1,20,1,15,0,15,1,15,"4"
4,1,2,33,1,118,0,118,1,118,"5"
9,2,2,26,1,15,0,15,1,15,"2"
6,1,2,30,1,65,0,65,4,260,"4"
12,2,1,31,2,20,40,60,4,240,"4"
8,1,2,35,2,97,40,137,2,274,"5"
10,2,2,22,1,45,0,45,3,135,"3"
9,2,2,34,1,15,0,15,4,60,"3"
9,2,2,23,2,15,25,40,1,40,"2"
5,2,2,29,1,32,0,32,1,32,"3"
10,2,2,28,2,45,40,85,1,85,"5"
6,1,1,22,2,65,40,105,1,105,"3"
11,2,2,29,1,50,0,50,1,50,"5"
3,3,2,28,1,10,0,10,1,10,"4"
9,2,2,21,1,15,0,15,3,45,"1"
9,2,2,25,1,15,0,15,1,15,"5"
12,2,2,18,1,20,0,20,1,20,"4"
7,1,2,33,1,130,0,130,1,130,"4"
6,1,2,32,1,65,0,65,2,130,"4"
1,1,2,22,1,100,0,100,1,100,"5"
8,1,2,21,1,97,0,97,1,97,"3"
6,1,2,27,2,65,50,115,1,115,"4"
3,3,1,22,1,10,0,10,1,10,"5"
6,1,2,25,1,65,0,65,1,65,"1"
1,1,2,25,1,100,0,100,1,100,"3"
7,1,2,20,1,130,0,130,1,130,"2"
8,1,2,35,1,97,0,97,1,97,"3"
6,1,2,21,1,65,0,65,1,65,"4"
3,3,2,27,2,10,40,50,3,150,"4"
5,2,2,22,2,32,70,102,1,102,"5"
6,1,2,25,1,65,0,65,1,65,"4"
6,1,2,18,1,65,0,65,2,130,"4"
6,1,2,28,1,65,0,65,1,65,"3"
9,2,1,31,1,15,0,15,3,45,"5"
10,2,1,33,1,45,0,45,2,90,"5"
11,2,2,24,2,50,40,90,1,90,"5"
9,2,2,27,1,15,0,15,2,30,"5"
1,1,2,32,1,100,0,100,1,100,"5"
3,3,2,22,1,10,0,10,1,10,"5"
6,1,2,33,1,65,0,65,2,130,"5"
2,3,1,22,2,9,50,59,2,118,"2"
1,1,2,25,1,100,0,100,1,100,"4"
12,2,2,21,1,20,0,20,1,20,"3"
1,1,2,24,1,100,0,100,4,400,"4"
2,3,2,33,2,9,40,49,1,49,"5"
1,1,1,30,1,100,0,100,4,400,"1"
5,2,2,25,1,32,0,32,1,32,"4"
2,3,1,30,1,9,0,9,1,9,"4"
2,3,1,32,2,9,40,49,4,196,"5"
9,2,1,28,1,15,0,15,1,15,"5"
8,1,2,31,1,97,0,97,1,97,"1"
13,3,2,34,1,23,0,23,1,23,"1"
3,3,2,20,1,10,0,10,1,10,"5"
1,1,2,26,1,100,0,100,2,200,"4"
1,1,2,26,1,100,0,100,2,200,"4"
6,1,2,27,1,65,0,65,1,65,"4"
4,1,2,23,1,118,0,118,2,236,"4"
3,3,1,25,1,10,0,10,3,30,"3"
8,1,2,34,1,97,0,97,1,97,"5"
5,2,1,22,1,32,0,32,1,32,"2"
6,1,2,34,2,65,25,90,1,90,"5"
9,2,2,35,1,15,0,15,2,30,"2"
9,2,2,34,1,15,0,15,1,15,"4"
4,1,2,29,2,118,40,158,1,158,"1"
12,2,2,21,1,20,0,20,4,80,"5"
11,2,1,24,2,50,40,90,1,90,"5"
6,1,2,28,1,65,0,65,4,260,"1"
9,2,2,21,1,15,0,15,1,15,"5"
6,1,1,25,2,65,40,105,2,210,"5"
6,1,2,28,1,65,0,65,1,65,"5"
6,1,2,29,1,65,0,65,4,260,"1"
8,1,2,26,1,97,0,97,2,194,"3"
6,1,1,22,1,65,0,65,2,130,"5"
4,1,1,27,2,118,70,188,1,188,"5"
8,1,2,29,1,97,0,97,3,291,"1"
12,2,1,25,1,20,0,20,1,20,"4"
7,1,2,27,1,130,0,130,4,520,"5"
6,1,2,21,2,65,70,135,1,135,"5"
4,1,2,32,2,118,40,158,1,158,"3"
6,1,2,19,2,65,40,105,1,105,"4"
7,1,2,18,2,130,25,155,1,155,"3"
6,1,2,19,2,65,40,105,3,315,"3"
9,2,1,28,1,15,0,15,2,30,"3"
2,3,2,30,1,9,0,9,1,9,"5"
2,3,1,22,1,9,0,9,1,9,"2"
6,1,2,30,1,65,0,65,3,195,"4"
12,2,1,30,2,20,40,60,1,60,"5"
3,3,1,18,1,10,0,10,1,10,"5"
1,1,2,25,1,100,0,100,1,100,"4"
10,2,2,19,1,45,0,45,1,45,"5"
1,1,2,25,1,100,0,100,1,100,"1"
2,3,1,33,2,9,40,49,3,147,"4"
6,1,2,22,1,65,0,65,1,65,"1"
3,3,1,19,2,10,40,50,1,50,"5"
6,1,2,33,1,65,0,65,1,65,"4"
9,2,2,27,1,15,0,15,1,15,"4"
7,1,2,21,2,130,70,200,1,200,"5"
2,3,2,19,1,9,0,9,4,36,"1"
6,1,2,24,1,65,0,65,2,130,"3"
6,1,2,29,1,65,0,65,1,65,"4"
12,2,2,25,1,20,0,20,1,20,"4"
7,1,2,35,1,130,0,130,1,130,"3"
3,3,2,21,1,10,0,10,1,10,"1"
8,1,2,23,1,97,0,97,2,194,"5"
1,1,2,32,2,100,25,125,1,125,"5"
7,1,2,19,2,130,40,170,2,340,"1"
9,2,1,21,2,15,50,65,3,195,"4"
8,1,1,29,1,97,0,97,1,97,"2"
8,1,2,27,2,97,100,197,1,197,"5"
9,2,2,31,1,15,0,15,5,75,"4"
9,2,1,29,2,15,70,85,1,85,"1"
3,3,1,22,1,10,0,10,5,50,"1"
9,2,2,24,1,15,0,15,1,15,"5"
1,1,2,30,2,100,70,170,3,510,"3"
13,3,1,25,2,23,25,48,1,48,"5"
6,1,2,20,1,65,0,65,2,130,"2"
4,1,2,30,2,118,70,188,1,188,"4"
2,3,1,33,1,9,0,9,1,9,"4"
6,1,2,32,1,65,0,65,1,65,"5"
1,1,2,35,1,100,0,100,1,100,"5"
2,3,2,18,1,9,0,9,2,18,"3"
3,3,2,21,1,10,0,10,4,40,"3"
1,1,2,23,2,100,70,170,1,170,"3"
8,1,2,33,1,97,0,97,1,97,"5"
10,2,2,30,1,45,0,45,1,45,"5"
5,2,2,29,1,32,0,32,3,96,"4"
8,1,2,33,1,97,0,97,1,97,"1"
6,1,2,32,2,65,40,105,2,210,"1"
13,3,1,22,1,23,0,23,1,23,"4"
6,1,2,30,1,65,0,65,1,65,"5"
1,1,1,20,2,100,40,140,2,280,"2"
2,3,1,26,1,9,0,9,1,9,"3"
1,1,1,32,1,100,0,100,2,200,"2"
4,1,1,22,1,118,0,118,3,354,"5"
4,1,1,34,1,118,0,118,1,118,"5"
9,2,1,29,2,15,100,115,1,115,"4"
5,2,2,28,1,32,0,32,1,32,"4"
8,1,1,27,1,97,0,97,1,97,"1"
4,1,2,35,2,118,70,188,1,188,"3"
3,3,2,24,2,10,40,50,1,50,"4"
1,1,2,21,1,100,0,100,1,100,"3"
6,1,2,31,1,65,0,65,1,65,"1"
3,3,2,33,2,10,70,80,3,240,"2"
3,3,2,23,1,10,0,10,1,10,"4"
2,3,2,31,1,9,0,9,1,9,"5"
6,1,1,23,1,65,0,65,2,130,"1"
8,1,1,32,1,97,0,97,1,97,"5"
1,1,2,29,1,100,0,100,1,100,"1"
9,2,2,31,1,15,0,15,1,15,"3"
9,2,2,23,2,15,50,65,4,260,"3"
12,2,2,22,1,20,0,20,1,20,"1"
7,1,2,34,1,130,0,130,1,130,"3"
9,2,2,20,2,15,25,40,1,40,"5"
13,3,2,34,1,23,0,23,1,23,"2"
4,1,1,20,2,118,40,158,1,158,"1"
6,1,1,32,1,65,0,65,2,130,"2"
9,2,2,27,1,15,0,15,1,15,"5"
8,1,2,35,1,97,0,97,2,194,"3"
5,2,1,19,2,32,25,57,2,114,"3"
6,1,2,24,2,65,70,135,5,675,"3"
2,3,1,35,1,9,0,9,1,9,"4"
6,1,1,26,2,65,25,90,2,180,"5"
12,2,2,31,1,20,0,20,3,60,"5"
6,1,2,31,1,65,0,65,2,130,"4"
3,3,2,26,1,10,0,10,1,10,"2"
12,2,1,22,2,20,70,90,1,90,"2"
6,1,2,32,1,65,0,65,1,65,"4"
10,2,2,21,2,45,40,85,1,85,"3"
6,1,1,34,1,65,0,65,1,65,"4"
6,1,2,32,1,65,0,65,2,130,"5"
8,1,1,23,1,97,0,97,5,485,"4"
12,2,2,35,1,20,0,20,1,20,"5"
4,1,1,32,1,118,0,118,1,118,"5"
4,1,2,23,2,118,40,158,1,158,"1"
5,2,2,20,2,32,70,102,2,204,"3"
1,1,1,22,1,100,0,100,2,200,"5"
5,2,2,30,2,32,40,72,1,72,"4"
6,1,1,32,1,65,0,65,1,65,"4"
1,1,1,24,1,100,0,100,1,100,"5"
9,2,1,25,1,15,0,15,1,15,"4"
1,1,1,19,2,100,70,170,2,340,"5"
1,1,2,27,2,100,100,200,1,200,"5"
1,1,2,29,1,100,0,100,1,100,"2"
8,1,2,32,1,97,0,97,1,97,"5"
12,2,1,19,2,20,40,60,1,60,"4"
4,1,1,24,1,118,0,118,1,118,"4"
2,3,2,34,1,9,0,9,1,9,"2"
2,3,1,25,2,9,50,59,1,59,"4"
9,2,2,20,1,15,0,15,1,15,"2"
10,2,1,21,1,45,0,45,1,45,"4"
1,1,1,31,2,100,100,200,4,800,"5"
8,1,2,35,2,97,70,167,1,167,"3"
8,1,1,33,2,97,40,137,3,411,"5"
6,1,1,22,1,65,0,65,1,65,"5"
3,3,2,34,2,10,40,50,2,100,"5"
6,1,2,27,2,65,40,105,2,210,"4"
3,3,1,32,2,10,40,50,2,100,"1"
9,2,2,25,2,15,40,55,2,110,"4"
12,2,1,25,2,20,25,45,1,45,"4"
9,2,2,32,1,15,0,15,1,15,"3"
6,1,1,34,1,65,0,65,2,130,"4"
6,1,2,28,1,65,0,65,1,65,"4"
9,2,1,26,1,15,0,15,4,60,"5"
10,2,2,22,2,45,40,85,1,85,"5"
11,2,2,25,1,50,0,50,1,50,"5"
6,1,2,28,2,65,100,165,1,165,"2"
7,1,2,31,1,130,0,130,3,390,"4"
5,2,2,27,1,32,0,32,1,32,"5"
7,1,1,33,1,130,0,130,2,260,"5"
1,1,1,22,1,100,0,100,5,500,"3"
2,3,1,32,1,9,0,9,2,18,"4"
9,2,1,29,2,15,25,40,2,80,"4"
5,2,2,22,2,32,100,132,1,132,"4"
6,1,2,19,2,65,40,105,1,105,"4"
6,1,2,22,1,65,0,65,1,65,"2"
7,1,1,33,2,130,50,180,1,180,"3"
10,2,1,35,2,45,25,70,1,70,"1"
6,1,1,23,2,65,100,165,3,495,"3"
7,1,2,28,1,130,0,130,1,130,"3"
6,1,2,24,1,65,0,65,1,65,"1"
3,3,2,27,1,10,0,10,1,10,"2"
5,2,2,20,1,32,0,32,1,32,"4"
8,1,2,33,1,97,0,97,1,97,"2"
5,2,2,18,1,32,0,32,3,96,"5"
6,1,1,24,1,65,0,65,1,65,"1"
9,2,2,22,1,15,0,15,4,60,"4"
10,2,1,22,1,45,0,45,1,45,"4"
9,2,1,26,1,15,0,15,1,15,"4"
11,2,2,30,2,50,40,90,1,90,"3"
6,1,2,26,1,65,0,65,4,260,"3"
4,1,2,28,1,118,0,118,1,118,"5"
7,1,2,24,1,130,0,130,1,130,"5"
10,2,1,27,2,45,25,70,1,70,"5"
4,1,1,18,1,118,0,118,1,118,"1"
6,1,2,31,1,65,0,65,1,65,"4"
6,1,1,24,1,65,0,65,4,260,"5"
2,3,1,29,1,9,0,9,1,9,"5"
3,3,2,24,1,10,0,10,1,10,"1"
2,3,2,34,2,9,50,59,1,59,"5"
3,3,2,21,1,10,0,10,3,30,"4"
8,1,2,27,1,97,0,97,1,97,"5"
4,1,2,24,1,118,0,118,1,118,"4"
1,1,2,19,2,100,70,170,1,170,"3"
6,1,1,23,1,65,0,65,4,260,"5"
2,3,2,31,2,9,40,49,1,49,"5"
2,3,2,30,1,9,0,9,1,9,"3"
8,1,2,32,1,97,0,97,1,97,"1"
12,2,2,26,1,20,0,20,1,20,"4"
9,2,2,23,2,15,70,85,1,85,"2"
8,1,1,25,2,97,25,122,1,122,"4"
10,2,1,19,2,45,50,95,2,190,"3"
2,3,2,27,1,9,0,9,2,18,"5"
6,1,2,25,1,65,0,65,1,65,"3"
4,1,2,19,1,118,0,118,3,354,"3"
4,1,2,29,2,118,40,158,2,316,"3"
6,1,1,25,1,65,0,65,3,195,"4"
7,1,2,26,1,130,0,130,5,650,"5"
5,2,2,18,2,32,25,57,3,171,"5"
10,2,2,28,2,45,40,85,2,170,"1"
6,1,1,28,2,65,40,105,3,315,"4"
2,3,2,18,2,9,25,34,1,34,"4"
4,1,2,24,1,118,0,118,2,236,"5"
6,1,1,24,1,65,0,65,1,65,"1"
1,1,2,29,1,100,0,100,1,100,"5"
3,3,2,26,1,10,0,10,4,40,"2"
1,1,1,22,2,100,40,140,1,140,"3"
10,2,1,25,1,45,0,45,1,45,"2"
6,1,1,32,1,65,0,65,1,65,"1"
12,2,2,34,2,20,70,90,1,90,"2"
9,2,2,27,2,15,40,55,1,55,"2"
1,1,2,33,1,100,0,100,1,100,"1"
1,1,1,35,1,100,0,100,2,200,"3"
9,2,1,25,1,15,0,15,4,60,"4"
1,1,2,21,2,100,70,170,1,170,"1"
11,2,2,28,2,50,40,90,1,90,"4"
8,1,2,35,2,97,40,137,4,548,"4"
3,3,2,26,1,10,0,10,1,10,"4"
9,2,2,24,1,15,0,15,1,15,"3"
6,1,1,27,1,65,0,65,1,65,"5"
8,1,2,27,1,97,0,97,2,194,"2"
1,1,2,29,2,100,40,140,5,700,"5"
1,1,2,26,1,100,0,100,5,500,"5"
4,1,2,26,1,118,0,118,1,118,"5"
2,3,2,22,1,9,0,9,1,9,"2"
6,1,2,26,1,65,0,65,1,65,"4"
8,1,1,33,2,97,70,167,1,167,"4"
5,2,1,23,1,32,0,32,2,64,"5"
12,2,1,31,1,20,0,20,2,40,"2"
3,3,2,25,2,10,40,50,3,150,"3"
9,2,2,25,1,15,0,15,1,15,"1"
6,1,2,28,1,65,0,65,3,195,"4"
12,2,2,22,1,20,0,20,1,20,"5"
7,1,2,24,1,130,0,130,4,520,"4"
7,1,2,32,1,130,0,130,2,260,"4"
9,2,1,22,1,15,0,15,1,15,"5"
2,3,2,29,2,9,25,34,3,102,"2"
5,2,2,18,2,32,50,82,2,164,"5"
6,1,2,23,1,65,0,65,1,65,"1"
10,2,2,29,2,45,40,85,2,170,"3"
3,3,1,20,2,10,70,80,1,80,"4"
4,1,2,21,2,118,70,188,1,188,"3"
6,1,1,22,1,65,0,65,1,65,"5"
8,1,2,29,1,97,0,97,3,291,"3"
3,3,2,21,2,10,25,35,1,35,"3"
12,2,2,31,1,20,0,20,1,20,"3"
11,2,1,21,1,50,0,50,3,150,"5"
3,3,2,34,1,10,0,10,5,50,"4"
3,3,2,34,1,10,0,10,1,10,"5"
6,1,2,24,1,65,0,65,1,65,"5"
6,1,2,34,1,65,0,65,1,65,"4"
6,1,2,23,1,65,0,65,1,65,"2"
5,2,1,31,2,32,40,72,1,72,"3"
6,1,1,25,1,65,0,65,3,195,"5"
7,1,2,33,2,130,25,155,3,465,"3"
12,2,1,27,2,20,40,60,1,60,"1"
8,1,2,35,1,97,0,97,1,97,"4"
9,2,1,35,2,15,70,85,3,255,"3"
4,1,1,31,1,118,0,118,1,118,"1"
4,1,2,27,1,118,0,118,1,118,"3"
8,1,1,32,1,97,0,97,1,97,"4"
7,1,2,21,1,130,0,130,3,390,"4"
8,1,2,29,2,97,40,137,2,274,"3"
6,1,2,18,1,65,0,65,1,65,"1"
12,2,2,27,2,20,25,45,1,45,"1"
2,3,2,31,2,9,40,49,1,49,"2"
6,1,2,26,2,65,100,165,3,495,"5"
1,1,2,18,1,100,0,100,1,100,"2"
12,2,2,20,1,20,0,20,1,20,"4"
9,2,2,34,2,15,40,55,1,55,"4"
2,3,2,31,1,9,0,9,2,18,"3"
6,1,2,29,1,65,0,65,4,260,"4"
4,1,2,29,1,118,0,118,1,118,"3"
6,1,2,32,2,65,40,105,1,105,"4"
1,1,2,33,2,100,100,200,3,600,"4"
6,1,2,23,1,65,0,65,1,65,"4"
6,1,2,30,1,65,0,65,4,260,"1"
7,1,1,31,1,130,0,130,1,130,"2"
8,1,1,31,2,97,50,147,1,147,"1"
8,1,2,18,2,97,100,197,1,197,"3"
6,1,2,35,2,65,40,105,2,210,"4"
9,2,2,32,1,15,0,15,2,30,"5"
13,3,2,29,2,23,40,63,1,63,"1"
2,3,1,33,1,9,0,9,1,9,"4"
5,2,2,23,1,32,0,32,1,32,"4"
10,2,2,18,1,45,0,45,1,45,"5"
8,1,2,23,1,97,0,97,2,194,"4"
6,1,2,18,2,65,40,105,1,105,"5"
6,1,2,27,1,65,0,65,1,65,"4"
3,3,2,32,1,10,0,10,1,10,"5"
8,1,2,26,2,97,25,122,1,122,"4"
6,1,1,23,2,65,25,90,4,360,"1"
1,1,2,25,1,100,0,100,1,100,"4"
6,1,2,29,1,65,0,65,1,65,"4"
11,2,1,34,1,50,0,50,2,100,"5"
1,1,2,19,2,100,40,140,1,140,"2"
2,3,2,18,1,9,0,9,1,9,"4"
2,3,1,26,1,9,0,9,2,18,"5"
1,1,2,35,2,100,40,140,1,140,"4"
9,2,2,34,1,15,0,15,2,30,"3"
9,2,2,30,1,15,0,15,3,45,"3"
4,1,2,33,1,118,0,118,1,118,"5"
9,2,1,33,2,15,40,55,1,55,"2"
1,1,2,30,1,100,0,100,1,100,"2"
6,1,2,24,1,65,0,65,1,65,"5"
2,3,1,23,1,9,0,9,1,9,"4"
8,1,2,31,1,97,0,97,2,194,"2"
2,3,2,35,1,9,0,9,2,18,"5"
6,1,1,30,1,65,0,65,2,130,"5"
6,1,2,26,1,65,0,65,1,65,"5"
2,3,2,25,2,9,70,79,1,79,"5"
12,2,2,28,1,20,0,20,1,20,"3"
7,1,2,27,2,130,70,200,1,200,"4"
10,2,2,23,2,45,70,115,1,115,"5"
4,1,1,30,1,118,0,118,1,118,"4"
13,3,2,26,2,23,40,63,1,63,"5"
3,3,2,28,1,10,0,10,1,10,"5"
6,1,2,31,1,65,0,65,3,195,"4"
3,3,2,33,2,10,40,50,1,50,"5"
2,3,2,34,1,9,0,9,1,9,"5"
7,1,2,29,1,130,0,130,1,130,"5"
12,2,1,31,1,20,0,20,2,40,"4"
6,1,2,20,1,65,0,65,1,65,"4"
6,1,1,20,1,65,0,65,1,65,"4"
9,2,2,30,1,15,0,15,4,60,"5"
10,2,2,34,2,45,40,85,1,85,"5"
11,2,2,32,1,50,0,50,1,50,"4"
8,1,1,27,2,97,40,137,1,137,"3"
4,1,1,19,1,118,0,118,1,118,"5"
4,1,2,22,2,118,70,188,4,752,"4"
6,1,1,29,1,65,0,65,1,65,"5"
6,1,1,21,1,65,0,65,1,65,"4"
2,3,2,32,1,9,0,9,3,27,"5"
3,3,2,35,1,10,0,10,1,10,"1"
1,1,2,32,1,100,0,100,3,300,"4"
12,2,1,32,2,20,70,90,2,180,"2"
6,1,2,30,2,65,25,90,1,90,"4"
